rank,hashtag,posts,views,category,engagement_score,sentiment_polarity,sentiment_label,scraped_at,original_text
2,#biscoitocut,8K,N/A,General,6.0,0.0,Neutral,2025-09-13T03:22:59.997196,2# biscoitocut8K Posts
91,#iconik,26K,N/A,General,6.8,0.0,Neutral,2025-09-13T03:23:00.000036,91# iconik26K Posts
104,#paradise,13K,N/A,General,6.8,0.0,Neutral,2025-09-13T03:23:00.000506,104# paradise13K Posts
6,#tgc,1K,N/A,General,5.8,0.0,Neutral,2025-09-13T03:22:59.998954,6# tgc1K Posts
5,#treasure,19K,N/A,General,6.8,0.0,Neutral,2025-09-13T03:22:59.998475,5# treasure19K Posts
41,#zerobaseone,44K,N/A,General,6.5,0.0,Neutral,2025-09-13T03:22:59.998023,41# zerobaseone44K Posts
