rank,hashtag,posts,views,category,scraped_at,original_text
1,#languagelearning,954,N/A,Education,2025-09-12T12:22:21.794116,1# languagelearning954 Posts
24,#wednesdaynetflix,308,N/A,General,2025-09-12T12:22:21.794599,24# wednesdaynetflix308 Posts
328,#wereldhavendagen,369,N/A,General,2025-09-12T12:22:21.795036,328# wereldhavendagen369 Posts
