rank,hashtag,posts,views,category,engagement_score,sentiment_polarity,sentiment_label,scraped_at,original_text
1911,#moldovan,56,N/A,General,5.3,0.0,Neutral,2025-09-12T23:16:31.245065,1911# moldovan56PostsNo related creatorSee analytics
2526,#monzaSports,117,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T23:16:31.248075,2526# monzaSports & Outdoor117PostsNo related creatorSee analytics
31,#morticiaaddamsNews,63,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T23:16:31.250438,31# morticiaaddamsNews & Entertainment63PostsNo related creatorSee analytics
55,#obregia,23,N/A,General,5.3,0.0,Neutral,2025-09-12T23:16:31.260355,55# obregia23PostsNo related creatorSee analytics
18,#parfumdeluxBeauty,175,N/A,Fashion & Beauty,6.0,0.0,Neutral,2025-09-12T23:16:31.244615,18# parfumdeluxBeauty & Personal Care175PostsNo related creatorSee analytics
29,#perdoname,897,N/A,General,5.8,0.0,Neutral,2025-09-12T23:16:31.236608,29# perdoname897PostsNo related creatorSee analytics
10,#portugalSports,146,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T23:16:31.241191,10# portugalSports & Outdoor146PostsSee analytics
30,#profesori,212,N/A,General,5.8,0.0,Neutral,2025-09-12T23:16:31.250031,30# profesori212PostsNo related creatorSee analytics
36,#pugsleyaddamsNews,42,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T23:16:31.252425,36# pugsleyaddamsNews & Entertainment42PostsNo related creatorSee analytics
54,#republikfestNews,25,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T23:16:31.259913,54# republikfestNews & Entertainment25PostsNo related creatorSee analytics
13,#rodriftSports,251,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-12T23:16:31.242780,13# rodriftSports & Outdoor251PostsNo related creatorSee analytics
12,#sambata,80,N/A,General,5.3,0.0,Neutral,2025-09-12T23:16:31.242275,12# sambata80PostsNo related creatorSee analytics
1,#scoala,7K,N/A,General,6.3,0.0,Neutral,2025-09-12T23:16:31.235556,1# scoala7KPostsNo related creatorSee analytics
29,#sinaiaforeverNews,107,N/A,Technology,5.5,0.0,Neutral,2025-09-12T23:16:31.249661,29# sinaiaforeverNews & Entertainment107PostsNo related creatorSee analytics
60,#soldier,14,N/A,General,5.3,0.0,Neutral,2025-09-12T23:16:31.262758,60# soldier14PostsSee analytics
236,#talk,144,N/A,General,5.8,0.0,Neutral,2025-09-12T23:16:31.246735,236# talk144PostsNo related creatorSee analytics
15,#theconjuringNews,108,N/A,News & Politics,5.5,0.0,Neutral,2025-09-12T23:16:31.243820,15# theconjuringNews & Entertainment108PostsNo related creatorSee analytics
77,#thenunNews,127,N/A,News & Politics,5.5,0.0,Neutral,2025-09-12T23:16:31.239751,77# thenunNews & Entertainment127PostsNo related creatorSee analytics
57,#theweekndconcertNews,122,N/A,Entertainment,6.3,0.0,Neutral,2025-09-12T23:16:31.261128,57# theweekndconcertNews & Entertainment122PostsNo related creatorSee analytics
6,#tvgirl,265,N/A,Entertainment,6.8,0.0,Neutral,2025-09-12T23:16:31.239160,6# tvgirl265PostsSee analytics
61,#xlovNews,67,N/A,News & Politics,5.3,0.0,Neutral,2025-09-12T23:16:31.263172,61# xlovNews & Entertainment67PostsNo related creatorSee analytics
48,#xotwodNews,69,N/A,News & Politics,5.0,0.0,Neutral,2025-09-12T23:16:31.257180,48# xotwodNews & Entertainment69PostsNo related creatorSee analytics
