rank,hashtag,posts,views,category,engagement_score,sentiment,polarity,subjectivity,scraped_at,original_text
1,#languagelearning,954,N/A,N/A,45.68,Neutral,0.0,0.0,2025-09-12T01:57:00.540433,1# languagelearning954 Posts
24,#wednesdaynetflix,308,N/A,N/A,40.89,Neutral,0.0,0.0,2025-09-12T01:57:00.541084,24# wednesdaynetflix308 Posts
328,#wereldhavendagen,369,N/A,N/A,29.09,Neutral,0.0,0.0,2025-09-12T01:57:00.541533,328# wereldhavendagen369 Posts
