rank,hashtag,posts,views,category,scraped_at,original_text
1,#languagelearning,954,N/A,Education,2025-09-12T12:47:53.632313,1# languagelearning954 Posts
24,#wednesdaynetflix,308,N/A,General,2025-09-12T12:47:53.632848,24# wednesdaynetflix308 Posts
328,#wereldhavendagen,369,N/A,General,2025-09-12T12:47:53.633319,328# wereldhavendagen369 Posts
