rank,hashtag,posts,views,category,engagement_score,sentiment_polarity,sentiment_label,scraped_at,original_text
24,#autorepairshop,213,N/A,Technology,5.5,0.0,Neutral,2025-09-12T22:09:48.832001,24# autorepairshop213 Posts
28,#bloodmoon,313,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.833991,28# bloodmoon313 Posts
9,#carwash,300,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.825974,9# carwash300 Posts
27,#doakes,84,N/A,General,5.3,0.0,Neutral,2025-09-12T22:09:48.833611,27# doakes84 Posts
1156,#eclipsa,552,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.827179,1156# eclipsa552 Posts
17,#eclipse,558,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.829525,17# eclipse558 Posts
3,#florincercel,623,N/A,General,5.5,0.0,Neutral,2025-09-12T22:09:48.822833,3# florincercel623 Posts
202,#heartsignal,436,N/A,General,5.5,0.0,Neutral,2025-09-12T22:09:48.830520,202# heartsignal436 Posts
2133,#incepe,93,N/A,General,5.3,0.0,Neutral,2025-09-12T22:09:48.830846,2133# incepe93 Posts
55,#incepescoala,438,N/A,General,5.5,0.0,Neutral,2025-09-12T22:09:48.824049,55# incepescoala438 Posts
2619,#incepescoalapebune,140,N/A,General,5.5,0.0,Neutral,2025-09-12T22:09:48.833148,2619# incepescoalapebune140 Posts
14,#maxverstappen,157,N/A,Technology,5.5,0.0,Neutral,2025-09-12T22:09:48.828591,14# maxverstappen157 Posts
221,#missme,158,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.831289,221# missme158 Posts
1911,#moldovan,56,N/A,General,5.3,0.0,Neutral,2025-09-12T22:09:48.830184,1911# moldovan56 Posts
2526,#monza,117,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.832734,2526# monza117 Posts
18,#parfumdelux,175,N/A,General,5.5,0.0,Neutral,2025-09-12T22:09:48.829837,18# parfumdelux175 Posts
29,#perdoname,897,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.822065,29# perdoname897 Posts
10,#portugal,146,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.826680,10# portugal146 Posts
30,#profesori,212,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.834678,30# profesori212 Posts
13,#rodrift,251,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.828153,13# rodrift251 Posts
12,#sambata,80,N/A,General,5.3,0.0,Neutral,2025-09-12T22:09:48.827679,12# sambata80 Posts
1,#scoala,7K,N/A,General,6.3,0.0,Neutral,2025-09-12T22:09:48.821016,1# scoala7K Posts
29,#sinaiaforever,107,N/A,Technology,5.5,0.0,Neutral,2025-09-12T22:09:48.834339,29# sinaiaforever107 Posts
236,#talk,144,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.831674,236# talk144 Posts
15,#theconjuring,108,N/A,General,5.5,0.0,Neutral,2025-09-12T22:09:48.829115,15# theconjuring108 Posts
77,#thenun,127,N/A,General,5.8,0.0,Neutral,2025-09-12T22:09:48.825150,77# thenun127 Posts
6,#tvgirl,265,N/A,Entertainment,6.8,0.0,Neutral,2025-09-12T22:09:48.824539,6# tvgirl265 Posts
