rank,hashtag,posts,views,category,engagement_score,sentiment_polarity,sentiment_label,scraped_at,original_text
9,#carwash,300,N/A,General,N/A,N/A,N/A,2025-09-12T15:24:02.287318,9# carwash300 Posts
3,#florincercel,623,N/A,General,N/A,N/A,N/A,2025-09-12T15:24:02.285335,3# florincercel623 Posts
55,#incepescoala,438,N/A,General,N/A,N/A,N/A,2025-09-12T15:24:02.286171,55# incepescoala438 Posts
29,#perdoname,897,N/A,General,N/A,N/A,N/A,2025-09-12T15:24:02.284939,29# perdoname897 Posts
1,#scoala,7K,N/A,General,N/A,N/A,N/A,2025-09-12T15:24:02.284497,1# scoala7K Posts
77,#thenun,127,N/A,General,N/A,N/A,N/A,2025-09-12T15:24:02.286780,77# thenun127 Posts
6,#tvgirl,265,N/A,Entertainment,N/A,N/A,N/A,2025-09-12T15:24:02.286443,6# tvgirl265 Posts
