rank,hashtag,posts,views,category,scraped_at,original_text
5,#enidsinclairNews,269,N/A,Entertainment,2025-09-12T01:21:52.309682,5# enidsinclairNews & Entertainment269PostsSee analytics
4,#hollowknightGames,424,N/A,N/A,2025-09-12T01:21:52.308968,4# hollowknightGames424PostsSee analytics
1,#languagelearningEducation,954,N/A,Education,2025-09-12T01:21:52.306723,1# languagelearningEducation954PostsSee analytics
614,#oceaneyes,788,N/A,N/A,2025-09-12T01:21:52.310290,614# oceaneyes788PostsNo related creatorSee analytics
24,#wednesdaynetflixNews,308,N/A,Entertainment,2025-09-12T01:21:52.307750,24# wednesdaynetflixNews & Entertainment308PostsSee analytics
328,#wereldhavendagenVehicle,369,N/A,Vehicle,2025-09-12T01:21:52.308361,328# wereldhavendagenVehicle & Transportation369PostsNo related creatorSee analytics
