rank,hashtag,posts,views,category,engagement_score,sentiment,polarity,subjectivity,scraped_at,original_text
1,#languagelearning,954,N/A,Education,45.68,Neutral,0.0,0.0,2025-09-12T09:08:52.834392,1# languagelearning954 Posts
24,#wednesdaynetflix,308,N/A,Entertainment,40.89,Neutral,0.0,0.0,2025-09-12T09:08:52.835083,24# wednesdaynetflix308 Posts
328,#wereldhavendagen,369,N/A,Travel,29.09,Neutral,0.0,0.0,2025-09-12T09:08:52.835595,328# wereldhavendagen369 Posts
