rank,hashtag,posts,views,category,engagement_score,sentiment_polarity,sentiment_label,scraped_at,original_text
6317,#Entertainment,240,N/A,Entertainment,6.5,0.0,Neutral,2025-09-13T04:07:41.407598,6317# zb1News & Entertainment240PostsSee analytics
52,#Outdoor,185,N/A,Sports & Fitness,6.3,0.0,Neutral,2025-09-13T04:07:41.403507,52# кхлSports & Outdoor185PostsNo related creatorSee analytics
234,#agnesNews,153,N/A,News & Politics,5.8,0.0,Neutral,2025-09-13T04:07:41.394099,234# agnesNews & Entertainment153PostsNo related creatorSee analytics
43,#airborne,65,N/A,Technology,5.3,0.0,Neutral,2025-09-13T04:07:41.401066,43# airborne65PostsNo related creatorSee analytics
3146,#ame,95,N/A,General,5.3,0.0,Neutral,2025-09-13T04:07:41.397447,3146# ame95PostsSee analytics
36,#birthdays,149,N/A,General,5.8,0.0,Neutral,2025-09-13T04:07:41.399384,36# birthdays149PostsNo related creatorSee analytics
59,#cambuurSports,56,N/A,Sports & Fitness,5.5,0.0,Neutral,2025-09-13T04:07:41.405961,59# cambuurSports & Outdoor56PostsNo related creatorSee analytics
49,#celebritylookalikeNews,62,N/A,Entertainment,5.8,0.0,Neutral,2025-09-13T04:07:41.402685,49# celebritylookalikeNews & Entertainment62PostsNo related creatorSee analytics
3749,#chrisstussyNews,72,N/A,News & Politics,5.0,0.0,Neutral,2025-09-13T04:07:41.399763,3749# chrisstussyNews & Entertainment72PostsNo related creatorSee analytics
6121,#coloradocharlieNews,94,N/A,News & Politics,5.0,0.0,Neutral,2025-09-13T04:07:41.406822,6121# coloradocharlieNews & Entertainment94PostsNo related creatorSee analytics
3824,#conjuringNews,62,N/A,News & Politics,5.0,0.0,Neutral,2025-09-13T04:07:41.400198,3824# conjuringNews & Entertainment62PostsNo related creatorSee analytics
55,#corruptionNews,131,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.404375,55# corruptionNews & Entertainment131PostsNo related creatorSee analytics
20,#edsheeranNews,187,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.392771,20# edsheeranNews & Entertainment187PostsNo related creatorSee analytics
62,#emoslut,66653,N/A,General,6.8,0.0,Neutral,2025-09-13T04:07:41.407252,62# emoslut66653PostsNo related creatorSee analytics
25,#enidNews,147,N/A,News & Politics,5.8,0.0,Neutral,2025-09-13T04:07:41.395341,25# enidNews & Entertainment147PostsNo related creatorSee analytics
5,#enidsinclairNews,280,N/A,Technology,5.5,0.0,Neutral,2025-09-13T04:07:41.385630,5# enidsinclairNews & Entertainment280PostsSee analytics
35,#fullmoonNews,190,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.398889,35# fullmoonNews & Entertainment190PostsNo related creatorSee analytics
46,#geminiNews,156,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.401838,46# geminiNews & Entertainment156PostsSee analytics
27,#hadestown,124,N/A,General,5.8,0.0,Neutral,2025-09-13T04:07:41.396186,27# hadestown124PostsNo related creatorSee analytics
58,#helldivers,88,N/A,Sports & Fitness,5.5,0.0,Neutral,2025-09-13T04:07:41.405539,58# helldivers2Games88PostsNo related creatorSee analytics
4,#hollowknightGames,480,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-13T04:07:41.385035,4# hollowknightGames480PostsSee analytics
193,#hollowknightsilksongGames,319,N/A,Music,6.3,0.0,Neutral,2025-09-13T04:07:41.392416,193# hollowknightsilksongGames319PostsNo related creatorSee analytics
7,#hullabalooGames,559,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-13T04:07:41.386874,7# hullabalooGames559PostsNo related creatorSee analytics
13,#hypic,370,N/A,General,5.8,0.0,Neutral,2025-09-13T04:07:41.390088,13# hypic370PostsNo related creatorSee analytics
39,#isaeGames,52,N/A,Sports & Fitness,5.8,0.0,Neutral,2025-09-13T04:07:41.400579,39# isaeGames52PostsNo related creatorSee analytics
3255,#italiangpSports,110,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-13T04:07:41.397832,3255# italiangpSports & Outdoor110PostsNo related creatorSee analytics
34,#kalishNews,105,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.398288,34# kalishNews & Entertainment105PostsNo related creatorSee analytics
1,#languagelearningEducation,1K,N/A,Education,5.3,0.0,Neutral,2025-09-13T04:07:41.382630,1# languagelearningEducation1KPostsSee analytics
818,#monzaSports,277,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-13T04:07:41.387542,818# monzaSports & Outdoor277PostsNo related creatorSee analytics
1836,#monzagpSports,190,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-13T04:07:41.392070,1836# monzagpSports & Outdoor190PostsNo related creatorSee analytics
9,#moon,774,N/A,General,5.8,0.0,Neutral,2025-09-13T04:07:41.388088,9# moon774PostsSee analytics
47,#moonlight,104,N/A,General,5.8,0.0,Neutral,2025-09-13T04:07:41.402281,47# moonlight104PostsSee analytics
16,#nepal,500,N/A,General,5.8,0.0,Neutral,2025-09-13T04:07:41.391256,16# nepal500PostsSee analytics
614,#oceaneyes,1K,N/A,General,5.8,0.0,Neutral,2025-09-13T04:07:41.386326,614# oceaneyes1KPostsNo related creatorSee analytics
24,#peterbotGames,122,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-13T04:07:41.394514,24# peterbotGames122PostsNo related creatorSee analytics
29,#rakaiNews,162,N/A,Technology,5.8,0.0,Neutral,2025-09-13T04:07:41.396965,29# rakaiNews & Entertainment162PostsNo related creatorSee analytics
56,#ray,217,N/A,General,5.8,0.0,Neutral,2025-09-13T04:07:41.404773,56# ray217PostsSee analytics
57,#slurp,47,N/A,General,5.3,0.0,Neutral,2025-09-13T04:07:41.405170,57# slurp47PostsNo related creatorSee analytics
