rank,hashtag,posts,views,category,engagement_score,sentiment_polarity,sentiment_label,scraped_at,original_text
22,#theconjuringNews,107,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.393661,22# theconjuringNews & Entertainment107PostsNo related creatorSee analytics
44,#theinternationalGames,101,N/A,Sports & Fitness,5.8,0.0,Neutral,2025-09-13T04:07:41.401442,44# theinternationalGames101PostsNo related creatorSee analytics
2626,#thinhairBeauty,49,N/A,Fashion & Beauty,5.5,0.0,Neutral,2025-09-13T04:07:41.395713,2626# thinhairBeauty & Personal Care49PostsNo related creatorSee analytics
15,#totaNews,185,N/A,News & Politics,5.8,0.0,Neutral,2025-09-13T04:07:41.390864,15# totaNews & Entertainment185PostsSee analytics
11,#wednesdayeditNews,218,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.389270,11# wednesdayeditNews & Entertainment218PostsSee analytics
24,#wednesdaynetflixNews,323,N/A,Entertainment,6.3,0.0,Neutral,2025-09-13T04:07:41.383719,24# wednesdaynetflixNews & Entertainment323PostsSee analytics
28,#wedstrijdSports,131,N/A,Sports & Fitness,6.0,0.0,Neutral,2025-09-13T04:07:41.396561,28# wedstrijdSports & Outdoor131PostsNo related creatorSee analytics
60,#wensdayNews,130,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.406372,60# wensdayNews & Entertainment130PostsNo related creatorSee analytics
328,#wereldhavendagenVehicle,368,N/A,Sports & Fitness,5.8,0.0,Neutral,2025-09-13T04:07:41.384447,328# wereldhavendagenVehicle & Transportation368PostsNo related creatorSee analytics
54,#whendidyougethot,100,N/A,General,5.3,0.0,Neutral,2025-09-13T04:07:41.403999,54# whendidyougethot100PostsNo related creatorSee analytics
17,#willywonkaNews,177,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.391672,17# willywonkaNews & Entertainment177PostsNo related creatorSee analytics
21,#zaterdag,85,N/A,General,5.3,0.0,Neutral,2025-09-13T04:07:41.393196,21# zaterdag85PostsNo related creatorSee analytics
514,#zerobaseoneNews,294,N/A,News & Politics,5.5,0.0,Neutral,2025-09-13T04:07:41.403076,514# zerobaseoneNews & Entertainment294PostsSee analytics
