hashtag,views,link,selector_used,scraped_at
# languagelearning,2,https://ads.tiktok.com/business/creativecenter/hashtag/languagelearning?countryCode=SG&period=7,[data-testid*='hashtag_item'],2025-09-11T21:04:51.513663
# relaxing,1,https://ads.tiktok.com/business/creativecenter/hashtag/relaxing?countryCode=SG&period=7,[data-testid*='hashtag_item'],2025-09-11T21:04:51.513361
# skynani,320,https://ads.tiktok.com/business/creativecenter/hashtag/skynani?countryCode=SG&period=7,[data-testid*='hashtag_item'],2025-09-11T21:04:51.513943
