rank,hashtag,posts,views,category,scraped_at,original_text
1,#languagelearning,954,N/A,Education,2025-09-12T12:34:18.571279,1# languagelearning954 Posts
24,#wednesdaynetflix,308,N/A,General,2025-09-12T12:34:18.571743,24# wednesdaynetflix308 Posts
328,#wereldhavendagen,369,N/A,General,2025-09-12T12:34:18.572215,328# wereldhavendagen369 Posts
